time,station_id,sbe_temp_avg,gross_range_test,climatology_test,flat_line_test,rate_of_change_test,spike_test,attenuated_signal_test,aggregate
2019-01-01 00:00:00,Mace Head,9.678783,1,3,1,1,2,2,3.0
2019-01-01 00:10:00,Mace Head,9.66979,1,3,1,1,1,2,3.0
2019-01-01 00:20:00,Mace Head,9.660823,1,3,1,1,1,2,3.0
2019-01-01 00:30:00,Mace Head,9.656125,1,3,1,1,1,2,3.0
2019-01-01 00:40:00,Mace Head,9.658753,1,3,1,1,1,2,3.0
2019-01-01 00:50:00,Mace Head,9.662832,1,3,1,1,1,2,3.0
2019-01-01 01:00:00,Mace Head,9.666274,1,3,1,1,1,2,3.0
2019-01-01 01:10:00,Mace Head,9.666569,1,3,1,1,1,2,3.0
2019-01-01 01:20:00,Mace Head,9.670708,1,3,1,1,1,2,3.0
2019-01-01 01:30:00,Mace Head,9.674531,1,3,1,1,1,2,3.0
2019-01-01 01:40:00,Mace Head,9.67422,1,3,1,1,1,2,3.0
2019-01-01 01:50:00,Mace Head,9.670501,1,3,1,1,1,2,3.0
2019-01-01 02:00:00,Mace Head,9.676207000000002,1,3,1,1,1,2,3.0
2019-01-01 02:10:00,Mace Head,9.683117,1,3,1,1,1,2,3.0
2019-01-01 02:20:00,Mace Head,9.689658,1,3,1,1,1,2,3.0
2019-01-01 02:30:00,Mace Head,9.682614,1,3,1,1,1,2,3.0
2019-01-01 02:40:00,Mace Head,9.684756,1,3,1,1,1,2,3.0
2019-01-01 02:50:00,Mace Head,9.675699,1,3,1,1,1,2,3.0
2019-01-01 03:00:00,Mace Head,9.671155,1,3,1,1,1,2,3.0
2019-01-01 03:10:00,Mace Head,9.663817,1,3,1,1,1,2,3.0
2019-01-01 03:20:00,Mace Head,9.653846,1,3,1,1,1,2,3.0
2019-01-01 03:30:00,Mace Head,9.654294,1,3,1,1,1,2,3.0
2019-01-01 03:40:00,Mace Head,9.660497,1,3,1,1,1,2,3.0
2019-01-01 03:50:00,Mace Head,9.663113,1,3,1,1,1,2,3.0
2019-01-01 04:00:00,Mace Head,9.664019,1,3,1,1,1,1,3.0
2019-01-01 04:10:00,Mace Head,9.658121,1,3,1,1,1,1,3.0
2019-01-01 04:20:00,Mace Head,9.656724,1,3,1,1,1,1,3.0
2019-01-01 04:30:00,Mace Head,9.654578,1,3,1,1,1,1,3.0
2019-01-01 04:40:00,Mace Head,9.648715,1,3,1,1,1,1,3.0
2019-01-01 04:50:00,Mace Head,9.647203,1,3,1,1,1,1,3.0
2019-01-01 05:00:00,Mace Head,9.641822,1,3,1,1,1,1,3.0
2019-01-01 05:10:00,Mace Head,9.641302,1,3,1,1,1,1,3.0
2019-01-01 05:20:00,Mace Head,9.646899,1,3,1,1,1,1,3.0
2019-01-01 05:30:00,Mace Head,9.654009,1,3,1,1,1,1,3.0
2019-01-01 05:40:00,Mace Head,9.670897,1,3,1,1,1,1,3.0
2019-01-01 05:50:00,Mace Head,9.672834,1,3,1,1,1,1,3.0
2019-01-01 06:00:00,Mace Head,9.663763,1,3,1,1,1,1,3.0
2019-01-01 06:10:00,Mace Head,9.6456,1,3,1,1,1,1,3.0
2019-01-01 06:20:00,Mace Head,9.660745,1,3,1,1,1,1,3.0
2019-01-01 06:30:00,Mace Head,9.656366,1,3,1,1,1,1,3.0
2019-01-01 06:40:00,Mace Head,9.64619,1,3,1,1,1,1,3.0
2019-01-01 06:50:00,Mace Head,9.639625,1,3,1,1,1,1,3.0
2019-01-01 07:00:00,Mace Head,9.642414,1,3,1,1,1,1,3.0
2019-01-01 07:10:00,Mace Head,9.636602,1,3,1,1,1,1,3.0
2019-01-01 07:20:00,Mace Head,9.633226,1,3,1,1,1,1,3.0
2019-01-01 07:30:00,Mace Head,9.648275,1,3,1,1,1,1,3.0
2019-01-01 07:40:00,Mace Head,9.640394,1,3,1,1,1,1,3.0
2019-01-01 07:50:00,Mace Head,9.59329,1,3,1,1,1,1,3.0
2019-01-01 08:00:00,Mace Head,9.590428,1,3,1,1,1,1,3.0
2019-01-01 08:10:00,Mace Head,9.582364,1,3,1,1,1,1,3.0
2019-01-01 08:20:00,Mace Head,9.574407,1,3,1,1,1,1,3.0
2019-01-01 08:30:00,Mace Head,9.594019,1,3,1,1,1,1,3.0
2019-01-01 08:40:00,Mace Head,9.60818,1,3,1,1,1,1,3.0
2019-01-01 08:50:00,Mace Head,9.61147,1,3,1,1,1,1,3.0
2019-01-01 09:00:00,Mace Head,9.592502,1,3,1,1,1,1,3.0
2019-01-01 09:10:00,Mace Head,9.601594,1,3,1,1,1,1,3.0
2019-01-01 09:20:00,Mace Head,9.607283,1,3,1,1,1,1,3.0
2019-01-01 09:30:00,Mace Head,9.616559,1,3,1,1,1,1,3.0
2019-01-01 09:40:00,Mace Head,9.625258,1,3,1,1,1,1,3.0
2019-01-01 09:50:00,Mace Head,9.607863,1,3,1,1,1,1,3.0
2019-01-01 10:00:00,Mace Head,9.599584,1,3,1,1,1,1,3.0
2019-01-01 10:10:00,Mace Head,9.590145,1,3,1,1,1,1,3.0
2019-01-01 10:20:00,Mace Head,9.614818,1,3,1,1,1,1,3.0
2019-01-01 10:30:00,Mace Head,9.634648,1,3,1,1,1,1,3.0
2019-01-01 10:40:00,Mace Head,9.650162,1,3,1,1,1,1,3.0
2019-01-01 10:50:00,Mace Head,9.664519,1,3,1,1,1,1,3.0
2019-01-01 11:00:00,Mace Head,9.669946,1,3,1,1,1,1,3.0
2019-01-01 11:10:00,Mace Head,9.675819,1,3,1,1,1,1,3.0
2019-01-01 11:20:00,Mace Head,9.684634,1,3,1,1,1,1,3.0
2019-01-01 11:30:00,Mace Head,9.690152,1,3,1,1,1,1,3.0
2019-01-01 11:40:00,Mace Head,9.69859,1,3,1,1,1,1,3.0
2019-01-01 11:50:00,Mace Head,9.702137,1,3,1,1,1,1,3.0
2019-01-01 12:00:00,Mace Head,9.702582,1,3,1,1,1,1,3.0
2019-01-01 12:10:00,Mace Head,9.702252,1,3,3,1,1,1,3.0
2019-01-01 12:20:00,Mace Head,9.700116,1,3,1,1,1,1,3.0
2019-01-01 12:30:00,Mace Head,9.703283,1,3,1,1,1,1,3.0
2019-01-01 12:40:00,Mace Head,9.705453,1,3,1,1,1,1,3.0
2019-01-01 12:50:00,Mace Head,9.719898,1,3,1,1,1,1,3.0
2019-01-01 13:00:00,Mace Head,9.732516,1,3,1,1,1,1,3.0
2019-01-01 13:10:00,Mace Head,9.733456,1,3,1,1,1,1,3.0
2019-01-01 13:20:00,Mace Head,9.725304,1,3,1,1,1,1,3.0
2019-01-01 13:30:00,Mace Head,9.73193,1,3,1,1,1,1,3.0
2019-01-01 13:40:00,Mace Head,9.739524,1,3,1,1,1,1,3.0
2019-01-01 13:50:00,Mace Head,9.744718,1,3,1,1,1,1,3.0
2019-01-01 14:00:00,Mace Head,9.752573,1,3,1,1,1,1,3.0
2019-01-01 14:10:00,Mace Head,9.763644,1,3,1,1,1,1,3.0
2019-01-01 14:20:00,Mace Head,9.766558,1,3,1,1,1,1,3.0
2019-01-01 14:30:00,Mace Head,9.768124,1,3,1,1,1,1,3.0
2019-01-01 14:40:00,Mace Head,9.774127,1,3,1,1,1,1,3.0
2019-01-01 14:50:00,Mace Head,9.780285,1,3,1,1,1,1,3.0
2019-01-01 15:00:00,Mace Head,9.78877,1,3,1,1,1,1,3.0
2019-01-01 15:10:00,Mace Head,9.786564,1,3,1,1,1,1,3.0
2019-01-01 15:20:00,Mace Head,9.78407,1,3,1,1,1,1,3.0
2019-01-01 15:30:00,Mace Head,9.784019,1,3,1,1,1,1,3.0
2019-01-01 15:40:00,Mace Head,9.784623,1,3,1,1,1,1,3.0
2019-01-01 15:50:00,Mace Head,9.781738,1,3,1,1,1,1,3.0
2019-01-01 16:00:00,Mace Head,9.77883,1,3,1,1,1,1,3.0
2019-01-01 16:10:00,Mace Head,9.766683,1,3,1,1,1,1,3.0
2019-01-01 16:20:00,Mace Head,9.757825,1,3,1,1,1,1,3.0
2019-01-01 16:30:00,Mace Head,9.756008,1,3,1,1,1,1,3.0
